EventName(한/영),캐릭터 이름(name)(영),대사(context)(한)
외부에서 접촉,주인공,방금 무슨 일이 있었던 거지?
,외부인,아. 아. 잘 들리십니까?
,,기업 소속의 긴급 대응팀 입니다.
,,지금 현재 기차 승객 중 저희 기업 쪽 사람의 생명 활동이 끊어진 것을 확인했습니다.
,,그와 동시에 기차의 제어권 상실이 확인됩니다.
,주인공,정말로 기차의 내 권한이 일부 상실 되었군
,외부인,저희쪽에서 기차 내부에 접근 할 수 없으니 그쪽에서 확인 부탁드리겠습니다.
,,기차의 제어는 저희쪽에서 해결해 보도록 하죠.
,주인공,일단 확인해 보도록 하겠네
,외부인,방금 당신의 PDA에 해킹 모듈을 설치 했습니다.
,,일부 잠겨 있는 문을 해킹을 통해 잠금을 해제할 수 있을 겁니다.
,주인공,이게 전부 인가?
,외부인,마우스 오른쪽을 클릭하시면 당신이 있는 칸의 카메라에 접근 할 수 있습니다.
,,해당 기능을 통해 수상한 물건이 있다면 스캔해 두신다면 확인 할수 있을 겁니다.
,,저희쪽 인원은 5번칸의 왼쪽방에 있습니다.
,,우선 그쪽을 먼저 확인 부탁드립니다.
end,,
,,
고정이벤트2,주인공,(피해자를 찾은것 같다.)
,외부인,아. 아. 잘 들리십니까?
,,아무래도 누군가 살인을 한 것 같군요.
,,기차가 정상화되기 전에 기차를 수색해서 증거를 찾아보도록 하죠.
end,,
,,
고정이벤트3,외부인,이제 충분한것 같군요. 차장실로 와주시겠어요?
end,,
,,
고정이벤트4,외부인,우선 기차의 제어권은 다시 얻어 무사히 종점까지 갈 수 있을겁니다.
,,당신이 모은 증거들은 저도 확인했습니다.
,,그럼 이제 당신에게 묻겠습니다.
,,당신이 생각하기에 누가 범인인 것 같습니까?
,,PAD를 열어 당신이 생각하는 범인을 지목하십시오.
,,단 한번만 선택이 가능하니 신중해 주십시오.
end,,
,,
고정이벤트5,,
end,,
,,
고정이벤트6,,
end,,
,,
고정이벤트7,,
end,,
,,
고정이벤트8,,
end,,
,,
고정이벤트9,,
end,,
,,
고정이벤트10,,
end,,
,,
고정이벤트11,,
end,,
,,
고정이벤트12,,
end,,
,,
고정이벤트13,,
end,,
,,
고정이벤트14,,
end,,
,,
고정이벤트15,,
end,,
,,
고정이벤트16,,
end,,
,,
고정이벤트17,,
end,,
,,
고정이벤트18,,
end,,
,,
고정이벤트19,,
end,,
,,
고정이벤트20,,
end,,
,,
고정이벤트21,,
end,,
,,
고정이벤트22,,
end,,
,,
고정이벤트23,,
end,,
,,
고정이벤트24,,
end,,
,,
고정이벤트25,,
end,,
,,
인사-록시,주인공,저기...
,록시,아하하하하하!
,주인공,(상태가 이상한걸?)
end,,
,,
반복-록시,록시,아하하하하하!
end,,
,,
아이템1-록시,록시,피.....피다...
,주인공,(무언가 알고 있나?)
end,,
,,
아이템2-록시,록시,그거..... 내꺼....야! 아하하!
end,,
,,
아이템3-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템4-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템5-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템6-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템7-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템8-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템9-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템10-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템11-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템12-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템13-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템14-록시,록시,그거.... 나줘!
,주인공,(뭔가 수상한데?)
end,,
,,
아이템15-록시,록시,그거.... 나줘!
,주인공,(뭔가 수상한데?)
end,,
,,
아이템16-록시,록시,그거.... 나줘!
,주인공,(뭔가 수상한데?)
end,,
,,
아이템17-록시,록시,그거.... 나줘!
,주인공,(뭔가 수상한데?)
end,,
,,
아이템18-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템19-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
아이템20-록시,록시,아하하하하하!
,주인공,(잘 모르는것 같다)
end,,
,,
추가이벤트1-록시,록시,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-록시,록시,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-록시,록시,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-세르게이,주인공,실례합니다. 기차에 문제가 생겨 인원 확인을 하고 있습니다.
,,세르게이 바실리예비치 라흐마니노프가 맞으십니까?
,세르게이,맞아
,주인공,혹시 수상한 점은 없었습니까?
,세르게이,방금 조명에 문제가 생겼을때부터 객실칸으로 가는 문이 잠겨있더군
end,,
,,
반복-세르게이,세르게이,객실 쪽으로 가는게 어떤가?
end,,
,,
아이템1-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템2-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템3-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템4-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템5-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템6-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템7-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템8-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템9-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템10-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템11-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템12-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템13-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템14-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템15-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템16-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템17-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템18-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
아이템19-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,그거 어디서 났지?
,주인공,무언가 알고 있는 눈치군요.
,세르게이,아니 나는 잘 모르겠군
end,,
,,
아이템20-세르게이,주인공,이것에 대해 알고 있는게 있습니까?
,세르게이,나는 잘 모르겠군
end,,
,,
추가이벤트1-세르게이,세르게이,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-세르게이,세르게이,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-세르게이,세르게이,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-하르트만,하르트만,이보게 차장 기차에 무슨 일이 있나?
,주인공,방금 기차에 문제가 생겨 확인 중에 있습니다.
,,혹시 이쪽으로 수상한 사람이 지나가거나 하지 않았습니까?
,하르트만,아니 아무도 지나가지 않았네
end,,
,,
반복-하르트만,주인공,왜 이런곳에 있는겁니까?
,하르트만,잠깐 객실 안이 답답해서 말이지
end,,
,,
아이템1-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,그건 어디서 났지?
,주인공,무언가 알고 계십니까?
,하르트만,아니 그냥 좀 수상해서 그렇지
end,,
,,
아이템2-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,그 음악가 친구가 기타를 매고 있던데 그 친구것이 아니겠나?
end,,
,,
아이템3-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템4-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템5-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템6-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템7-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템8-하르트만,주인공,이 명함 당신 것이더군요
,하르트만,흠 어디서 떨어트렸다 했더니 거기 있었나?
end,,
,,
아이템9-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템10-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템11-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템12-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템13-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템14-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템15-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템16-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템17-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템18-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템19-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템20-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
추가이벤트1-하르트만,하르트만,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-하르트만,하르트만,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-하르트만,하르트만,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-다니엘,주인공,실례합니다. 기차에 문제가 생겨 인원 확인을 하고 있습니다.
,다니엘,그런가요.
,주인공,다니엘 래커씨 맞습니까?
,다니엘,..........
end,,
,,
반복-다니엘,주인공,다니엘 래커씨?
,다니엘,..........
end,,
,,
아이템1-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템2-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템3-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템4-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템5-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템6-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템7-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템8-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템9-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템10-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템11-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,,당신것 같은데요?
,다니엘,.......
end,,
,,
아이템12-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
,주인공,(무언가 알고 있는 눈치이다)
end,,
,,
아이템13-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템14-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템15-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템16-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템17-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템18-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템19-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템20-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
,,그걸 어디서....?
,주인공,사진속에 사람 누구인지 알고 있습니까?
,다니엘,..........
,주인공,(무언가 알고 있는 눈치이다)
end,,
,,
추가이벤트1-다니엘,다니엘,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-다니엘,다니엘,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-다니엘,다니엘,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-현식,현식,이봐 기차에 무슨 문제라도 있나?
,,좀 이상이 있는것 같은데?
end,,
,,
반복-현식,현식,궁금한게 있다면 나를 통하도록
end,,
,,
아이템1-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템2-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템3-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템4-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템5-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템6-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템7-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템8-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템9-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템10-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템11-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템12-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
